Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,28.400000,28.879999,28.389999,28.709999,19.282564,10085671
2018-04-04,28.780001,28.860001,28.600000,28.709999,19.282564,6825101
2018-04-05,28.760000,28.879999,28.450001,28.510000,19.148237,7353559
2018-04-06,28.690001,28.780001,28.315001,28.639999,19.235550,5374434
2018-04-09,28.400000,28.660000,28.370001,28.660000,19.248980,4687772
2018-04-10,28.280001,29.100000,28.250000,28.879999,19.396744,7777198
2018-04-11,29.510000,29.705000,29.389999,29.440001,19.772856,8437132
2018-04-12,29.740000,29.799999,29.580000,29.639999,19.907185,5702956
2018-04-13,29.830000,29.930000,29.725000,29.730000,19.967628,4171387
2018-04-16,30.230000,30.379999,29.770000,29.980000,20.135542,6715117
2018-04-17,29.900000,30.139999,29.809999,29.930000,20.101954,5319448
2018-04-18,30.080000,30.190001,29.969999,30.070000,20.195984,4535109
2018-04-19,30.900000,31.080000,30.809999,30.920000,20.766870,9467668
2018-04-20,30.799999,30.980000,30.680000,30.860001,20.726574,4696887
2018-04-23,31.030001,31.280001,31.010000,31.230000,20.975077,5438519
2018-04-24,31.049999,31.270000,30.870001,31.270000,21.001944,6480604
2018-04-26,31.299999,31.299999,30.950001,31.030001,20.840754,7318620
2018-04-27,31.250000,31.270000,30.840000,31.110001,20.894485,10397238
2018-04-30,30.900000,31.049999,30.680000,30.950001,20.787024,5653428
2018-05-01,31.100000,31.379999,30.965000,31.250000,20.988514,6404423
2018-05-02,31.049999,31.320000,30.959999,31.200001,20.954929,5398358
2018-05-03,31.490000,31.629999,31.389999,31.520000,21.169853,6089567
2018-05-04,31.520000,31.650000,31.389999,31.490000,21.149702,5850194
2018-05-07,31.930000,32.139999,31.885000,31.950001,21.458654,5739780
2018-05-08,31.910000,32.060001,31.700001,31.809999,21.364624,6652811
2018-05-09,31.900000,32.200001,31.879999,32.189999,21.619846,7324550
2018-05-10,32.980000,33.000000,32.669998,32.750000,21.995958,6541142
2018-05-11,33.000000,33.189999,32.950001,33.160000,22.271330,5393646
2018-05-14,33.380001,33.810001,33.380001,33.790001,22.694458,7260102
2018-05-15,33.990002,34.169998,33.520000,33.549999,22.533266,8775348
2018-05-16,33.849998,34.130001,33.810001,34.009998,22.842216,6547320
2018-05-17,34.450001,34.630001,34.189999,34.439999,23.131018,7133414
2018-05-18,34.400002,34.400002,33.915001,34.080002,22.889231,5686951
2018-05-21,33.930000,34.110001,33.820000,33.939999,22.795202,3759679
2018-05-22,33.869999,33.915001,33.480000,33.709999,22.640724,4057549
2018-05-23,33.849998,34.169998,33.770000,33.880001,22.754906,6582009
2018-05-24,33.799999,34.029999,33.750000,33.910000,22.775053,8952282
2018-05-25,33.549999,33.610001,32.959999,33.070000,22.210882,13706940
2018-05-28,32.290001,32.459999,32.029999,32.110001,21.566116,6768042
2018-05-29,32.020000,32.410000,32.020000,32.279999,21.680292,4795159
2018-05-30,31.959999,32.220001,31.900000,32.200001,21.626560,6738688
2018-05-31,32.560001,32.869999,32.509998,32.790001,22.022827,12440207
2018-06-01,32.980000,33.119999,32.715000,33.080002,22.217602,4697344
2018-06-04,33.459999,33.474998,33.200001,33.200001,22.298195,2978578
2018-06-05,32.889999,32.910000,32.689999,32.740002,21.989244,4425679
2018-06-06,33.110001,33.470001,33.110001,33.389999,22.425804,7906824
2018-06-07,33.970001,34.119999,33.860001,34.080002,22.889231,6653975
2018-06-08,34.139999,34.220001,33.919998,34.070000,22.882515,5141663
2018-06-12,33.990002,34.020000,33.660000,33.689999,22.627293,6895158
2018-06-13,33.570000,33.599998,33.119999,33.250000,22.331774,5133840
2018-06-14,33.410000,33.439999,33.250000,33.380001,22.419088,4559734
2018-06-15,33.549999,33.740002,33.480000,33.560001,22.539982,9727318
2018-06-18,32.869999,32.889999,32.595001,32.759998,22.002672,5908455
2018-06-19,33.020000,33.139999,32.340000,32.360001,21.734026,8074474
2018-06-20,32.310001,32.695000,32.169998,32.599998,21.895216,6783728
2018-06-21,33.000000,33.099998,32.634998,32.759998,22.002672,10986957
2018-06-22,32.470001,32.759998,32.384998,32.520000,21.841486,7507260
2018-06-25,33.000000,33.119999,32.950001,32.980000,22.150434,5393644
2018-06-26,32.200001,32.639999,32.150002,32.639999,21.922081,8467297
2018-06-27,33.150002,33.410000,33.080002,33.230000,22.318346,8309782
2018-06-28,33.730000,33.910000,33.639999,33.820000,22.714607,6873533
2018-06-29,34.070000,34.240002,33.830002,33.910000,22.775053,17326117
2018-07-02,33.700001,34.029999,33.410000,33.599998,22.566845,4971017
2018-07-03,33.259998,33.299999,32.900002,33.049999,22.197447,6876636
2018-07-04,33.070000,33.240002,32.810001,33.049999,22.197447,4551374
2018-07-05,32.939999,32.990002,32.700001,32.869999,22.076555,5463386
2018-07-06,33.000000,33.355000,32.974998,33.150002,22.264616,7285654
2018-07-09,33.480000,33.900002,33.470001,33.860001,22.741474,4771239
2018-07-10,34.230000,34.410000,34.119999,34.230000,22.989973,6028924
2018-07-11,34.220001,34.220001,33.639999,33.779999,22.687742,7792312
2018-07-12,33.230000,33.709999,33.139999,33.570000,22.546698,8218786
2018-07-13,33.509998,33.790001,33.270000,33.330002,22.385508,6926016
2018-07-16,33.230000,33.279999,33.009998,33.070000,22.210882,4284305
2018-07-17,32.599998,32.790001,32.450001,32.500000,21.828053,6101727
2018-07-18,33.599998,33.750000,33.200001,33.570000,22.546698,8599458
2018-07-19,33.610001,33.965000,33.410000,33.610001,22.573565,7557805
2018-07-20,32.980000,33.169998,32.810001,32.910000,22.103422,7837263
2018-07-23,32.610001,32.665001,32.450001,32.450001,21.794474,4424555
2018-07-24,32.849998,33.110001,32.720001,33.009998,22.170582,5167474
2018-07-25,33.849998,33.900002,33.509998,33.750000,22.667593,7892627
2018-07-26,33.750000,33.840000,33.509998,33.639999,22.593714,5565432
2018-07-27,34.299999,34.560001,34.250000,34.400002,23.104156,10731734
2018-07-30,34.410000,34.470001,34.040001,34.189999,22.963114,4656621
2018-07-31,34.759998,34.980000,34.580002,34.860001,23.413105,9722770
2018-08-01,35.099998,35.290001,35.000000,35.080002,23.560863,9485774
2018-08-02,34.459999,34.529999,33.919998,33.919998,22.781767,8511766
2018-08-03,33.869999,33.924999,33.349998,33.380001,22.419088,6905305
2018-08-06,34.060001,34.169998,33.974998,34.099998,22.902664,3726429
2018-08-07,33.669998,33.790001,33.529999,33.619999,22.580280,5886409
2018-08-08,34.250000,34.299999,33.820000,33.939999,22.795202,5579175
2018-08-09,33.990002,34.240002,33.680000,33.959999,22.808634,4495756
2018-08-10,33.990002,34.049999,33.720001,33.720001,22.647444,3292507
2018-08-13,33.700001,33.770000,33.160000,33.310001,22.372072,5946668
