Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,8.340000,8.395000,8.290000,8.350000,7.583744,3818505
2018-04-04,8.330000,8.440000,8.260000,8.430000,7.656401,8405126
2018-04-05,8.440000,8.580000,8.440000,8.540000,7.756308,3176377
2018-04-06,8.530000,8.590000,8.500000,8.550000,7.765390,2415927
2018-04-09,8.570000,8.640000,8.560000,8.600000,7.810802,2495738
2018-04-10,8.550000,8.620000,8.520000,8.610000,7.819883,2920758
2018-04-11,8.570000,8.610000,8.540000,8.560000,7.774473,4615977
2018-04-12,8.500000,8.550000,8.440000,8.510000,7.729060,4262709
2018-04-13,8.500000,8.590000,8.490000,8.530000,7.747225,1919288
2018-04-16,8.530000,8.590000,8.480000,8.580000,7.792637,2479472
2018-04-17,8.620000,8.730000,8.600000,8.650000,7.856214,4553697
2018-04-18,8.690000,8.750000,8.680000,8.720000,7.919790,2350466
2018-04-19,8.780000,8.780000,8.680000,8.730000,7.928872,3852829
2018-04-20,8.700000,8.760000,8.680000,8.710000,7.910706,2920567
2018-04-23,8.720000,8.780000,8.700000,8.750000,7.947037,3826978
2018-04-24,8.780000,8.895000,8.770000,8.880000,8.065106,5023338
2018-04-26,8.840000,8.940000,8.820000,8.890000,8.074190,3783628
2018-04-27,8.900000,8.960000,8.870000,8.960000,8.137765,3660591
2018-04-30,9.000000,9.100000,8.975000,9.070000,8.237672,4905143
2018-05-01,9.090000,9.190000,9.070000,9.110000,8.274001,2864532
2018-05-02,9.090000,9.230000,9.080000,9.210000,8.364822,3782402
2018-05-03,9.260000,9.320000,9.190000,9.210000,8.364822,5239910
2018-05-04,9.200000,9.220000,9.015000,9.050000,8.219507,5510761
2018-05-07,9.090000,9.170000,9.070000,9.150000,8.310328,2329801
2018-05-08,9.180000,9.230000,9.090000,9.120000,8.283083,4530794
2018-05-09,9.150000,9.220000,9.110000,9.180000,8.337577,3556041
2018-05-10,9.240000,9.240000,9.100000,9.120000,8.283083,2928595
2018-05-11,9.130000,9.170000,9.030000,9.080000,8.246752,4035189
2018-05-14,9.060000,9.080000,8.920000,8.980000,8.155929,5690989
2018-05-15,8.950000,9.040000,8.890000,9.000000,8.174095,4310060
2018-05-16,8.940000,9.055000,8.890000,9.000000,8.174095,4016168
2018-05-17,9.010000,9.020000,8.835000,8.880000,8.065106,3260675
2018-05-18,8.950000,9.005000,8.920000,9.000000,8.174095,2916813
2018-05-21,8.990000,9.015000,8.920000,8.980000,8.155929,2299421
2018-05-22,8.980000,9.080000,8.940000,9.080000,8.246752,3470560
2018-05-23,9.090000,9.340000,9.060000,9.300000,8.446565,5642808
2018-05-24,9.270000,9.390000,9.260000,9.380000,8.519224,3732669
2018-05-25,9.330000,9.360000,9.240000,9.290000,8.437481,4093912
2018-05-28,9.320000,9.380000,9.240000,9.350000,8.491977,3704752
2018-05-29,9.360000,9.370000,9.255000,9.290000,8.437481,4774752
2018-05-30,9.270000,9.330000,9.210000,9.300000,8.446565,7427099
2018-05-31,9.320000,9.340000,9.175000,9.340000,8.482896,18304306
2018-06-01,9.300000,9.390000,9.185000,9.370000,8.510141,3981167
2018-06-04,9.450000,9.690000,9.370000,9.680000,8.791695,7836091
2018-06-05,9.650000,9.650000,9.460000,9.500000,8.628211,5058477
2018-06-06,9.500000,9.500000,9.410000,9.480000,8.610045,5191381
2018-06-07,9.470000,9.550000,9.440000,9.440000,8.573717,3582016
2018-06-08,9.420000,9.490000,9.380000,9.420000,8.555552,4053843
2018-06-12,9.470000,9.550000,9.410000,9.450000,8.582800,5311815
2018-06-13,9.450000,9.510000,9.370000,9.440000,8.573717,4237859
2018-06-14,9.380000,9.520000,9.360000,9.490000,8.619129,2209662
2018-06-15,9.600000,9.725000,9.540000,9.550000,8.673624,8635508
2018-06-18,9.590000,9.810000,9.550000,9.750000,8.855269,4456469
2018-06-19,9.720000,9.780000,9.600000,9.710000,8.818942,3820616
2018-06-20,9.720000,9.830000,9.650000,9.820000,8.918845,3556678
2018-06-21,10.000000,10.000000,9.870000,9.910000,9.000586,7542904
2018-06-22,9.880000,9.900000,9.810000,9.850000,8.946094,3373833
2018-06-25,9.850000,9.900000,9.790000,9.830000,8.927927,3538465
2018-06-26,9.790000,9.910000,9.750000,9.840000,8.937012,4654319
2018-06-27,9.850000,9.870000,9.730000,9.740000,8.846187,4377767
2018-06-28,9.600000,9.700000,9.530000,9.640000,8.885361,6352968
2018-06-29,9.640000,9.770000,9.560000,9.620000,8.866925,6246283
2018-07-02,9.630000,9.760000,9.590000,9.650000,8.894577,2860220
