Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,6.100000,6.200000,5.840000,5.890000,5.154349,31893125
2018-04-04,5.860000,5.925000,5.810000,5.840000,5.110595,11653333
2018-04-05,5.820000,5.860000,5.800000,5.850000,5.119345,5414239
2018-04-06,5.830000,5.940000,5.800000,5.880000,5.145599,16733331
2018-04-09,5.850000,5.920000,5.850000,5.900000,5.163101,5308531
2018-04-10,5.870000,5.940000,5.860000,5.940000,5.198104,4226941
2018-04-11,5.900000,5.980000,5.900000,5.970000,5.224358,4795686
2018-04-12,5.980000,6.000000,5.930000,5.970000,5.224358,4823685
2018-04-13,5.940000,5.970000,5.900000,5.910000,5.171851,6369640
2018-04-16,5.910000,5.980000,5.910000,5.930000,5.189353,8193099
2018-04-17,5.930000,5.980000,5.920000,5.930000,5.189353,3943776
2018-04-18,5.950000,5.980000,5.940000,5.980000,5.233108,3385381
2018-04-19,5.990000,6.010000,5.920000,6.000000,5.250612,8581363
2018-04-20,5.950000,6.035000,5.950000,6.000000,5.250612,3958355
2018-04-23,6.050000,6.100000,6.010000,6.010000,5.259362,5420633
2018-04-24,6.070000,6.150000,6.060000,6.130000,5.364374,6671840
2018-04-26,6.200000,6.200000,6.160000,6.200000,5.425631,7167380
2018-04-27,6.250000,6.280000,6.165000,6.240000,5.460634,8314417
2018-04-30,6.190000,6.200000,5.970000,6.140000,5.373125,4886833
2018-05-01,6.140000,6.200000,6.140000,6.160000,5.390627,3165253
2018-05-02,6.190000,6.230000,6.125000,6.200000,5.425631,4180588
2018-05-03,6.220000,6.245000,6.180000,6.220000,5.443132,3601700
2018-05-04,6.200000,6.240000,6.170000,6.200000,5.425631,3098330
2018-05-07,6.240000,6.270000,6.095000,6.120000,5.355623,5856692
2018-05-08,6.200000,6.240000,6.020000,6.050000,5.294366,5778467
2018-05-09,6.150000,6.250000,6.140000,6.250000,5.469387,8825864
2018-05-10,6.250000,6.300000,6.190000,6.260000,5.478138,6588569
2018-05-11,6.260000,6.290000,6.190000,6.200000,5.425631,3885877
2018-05-14,6.280000,6.295000,6.220000,6.250000,5.469387,5893434
2018-05-15,6.250000,6.290000,6.180000,6.230000,5.451884,7595413
2018-05-16,6.270000,6.380000,6.250000,6.320000,5.530644,7887664
2018-05-17,6.310000,6.320000,6.160000,6.200000,5.425631,9268332
2018-05-18,6.200000,6.290000,6.190000,6.250000,5.469387,6182522
2018-05-21,6.410000,6.460000,6.300000,6.360000,5.565648,9980667
2018-05-22,6.380000,6.440000,6.380000,6.440000,5.635655,5833291
2018-05-23,5.880000,5.920000,5.820000,5.900000,5.163101,28095994
2018-05-24,5.830000,5.945000,5.780000,5.900000,5.163101,8308477
2018-05-25,5.840000,5.910000,5.770000,5.890000,5.154349,9661095
2018-05-28,5.750000,5.810000,5.620000,5.680000,4.970578,12398493
2018-05-29,5.630000,5.650000,5.550000,5.580000,4.883069,6412774
2018-05-30,5.550000,5.730000,5.550000,5.670000,4.961828,6131365
2018-05-31,5.780000,5.890000,5.740000,5.860000,5.128098,14531128
2018-06-01,5.780000,5.890000,5.750000,5.810000,5.084342,3571152
2018-06-04,5.760000,5.850000,5.730000,5.770000,5.049337,3435675
2018-06-05,5.700000,5.720000,5.630000,5.650000,4.944325,5546785
2018-06-06,5.600000,5.810000,5.600000,5.780000,5.058090,8357019
2018-06-07,5.850000,6.030000,5.820000,6.000000,5.250612,8241459
2018-06-08,6.000000,6.005000,5.865000,5.890000,5.154349,3128904
2018-06-12,5.900000,5.960000,5.850000,5.930000,5.189353,5241355
2018-06-13,5.900000,5.910000,5.820000,5.860000,5.128098,4400592
2018-06-14,5.810000,5.860000,5.735000,5.820000,5.093092,4642448
2018-06-15,5.880000,5.980000,5.860000,5.980000,5.233108,9771409
2018-06-18,5.870000,5.960000,5.810000,5.940000,5.198104,5616280
2018-06-19,6.000000,6.070000,5.955000,5.990000,5.241859,7815021
2018-06-20,6.100000,6.200000,6.080000,6.170000,5.399378,7945062
2018-06-21,6.210000,6.210000,6.135000,6.150000,5.381876,6126827
2018-06-22,6.100000,6.130000,5.930000,5.940000,5.198104,5132494
2018-06-25,6.080000,6.090000,6.010000,6.040000,5.285614,2801998
2018-06-26,6.000000,6.010000,5.930000,5.990000,5.241859,2530401
2018-06-27,6.100000,6.175000,6.070000,6.120000,5.355623,4574150
2018-06-28,6.120000,6.280000,6.115000,6.280000,5.495639,5236659
2018-06-29,6.240000,6.290000,6.150000,6.270000,5.486887,13201765
2018-07-02,6.280000,6.280000,6.140000,6.150000,5.381876,4247210
2018-07-03,6.150000,6.240000,6.120000,6.220000,5.443132,2737438
2018-07-04,6.210000,6.220000,6.150000,6.220000,5.443132,3304529
