Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,3.120000,3.160000,3.110000,3.150000,2.873199,25858766
2018-04-04,3.160000,3.170000,3.110000,3.130000,2.854956,26442493
2018-04-05,3.130000,3.140000,3.100000,3.110000,2.836714,25939749
2018-04-06,3.100000,3.110000,3.090000,3.100000,2.827592,19591583
2018-04-09,3.090000,3.130000,3.080000,3.110000,2.836714,19460216
2018-04-10,3.110000,3.160000,3.095000,3.150000,2.873199,16521836
2018-04-11,3.130000,3.140000,3.090000,3.100000,2.827592,27528186
2018-04-12,3.080000,3.120000,3.080000,3.090000,2.818471,28056800
2018-04-13,3.090000,3.110000,3.080000,3.100000,2.827592,21590421
2018-04-16,3.100000,3.120000,3.090000,3.120000,2.845835,13894879
2018-04-17,3.130000,3.160000,3.120000,3.150000,2.873199,18178780
2018-04-18,3.170000,3.170000,3.100000,3.120000,2.845835,15142001
2018-04-19,3.120000,3.125000,3.090000,3.110000,2.836714,24314642
2018-04-20,3.110000,3.110000,3.060000,3.080000,2.809350,21547289
2018-04-23,3.070000,3.090000,3.050000,3.090000,2.818471,21933315
2018-04-24,3.090000,3.110000,3.080000,3.100000,2.827592,17178142
2018-04-26,3.090000,3.110000,3.085000,3.110000,2.836714,21845041
2018-04-27,3.100000,3.150000,3.090000,3.150000,2.873199,28235311
2018-04-30,3.150000,3.200000,3.140000,3.180000,2.900563,26775096
2018-05-01,3.180000,3.210000,3.170000,3.200000,2.918805,21790311
2018-05-02,3.200000,3.210000,3.160000,3.190000,2.909684,23202052
2018-05-03,3.200000,3.230000,3.170000,3.220000,2.937047,29169694
2018-05-04,3.230000,3.270000,3.220000,3.240000,2.955290,25145082
2018-05-07,3.260000,3.260000,3.230000,3.250000,2.964411,15955580
2018-05-08,3.260000,3.260000,3.205000,3.220000,2.937047,24597213
2018-05-09,3.240000,3.260000,3.230000,3.250000,2.964411,16926074
2018-05-10,3.220000,3.240000,3.160000,3.170000,2.891441,34219186
2018-05-11,3.190000,3.220000,3.170000,3.200000,2.918805,22117151
2018-05-14,3.150000,3.150000,3.040000,3.040000,2.772865,70912918
2018-05-15,3.000000,3.000000,2.865000,2.870000,2.617804,88863238
2018-05-16,2.850000,2.880000,2.805000,2.860000,2.608682,71816304
2018-05-17,2.860000,2.870000,2.840000,2.870000,2.617804,31659091
2018-05-18,2.870000,2.890000,2.850000,2.850000,2.599561,29041699
2018-05-21,2.850000,2.850000,2.790000,2.800000,2.553954,32122116
2018-05-22,2.780000,2.790000,2.715000,2.740000,2.499227,48829657
2018-05-23,2.750000,2.780000,2.740000,2.780000,2.535712,37375568
2018-05-24,2.760000,2.790000,2.750000,2.790000,2.544833,25538566
2018-05-25,2.820000,2.920000,2.820000,2.870000,2.617804,51952429
2018-05-28,2.880000,2.880000,2.825000,2.840000,2.590439,28014611
2018-05-29,2.830000,2.840000,2.800000,2.810000,2.563076,43536961
2018-05-30,2.790000,2.800000,2.760000,2.790000,2.544833,40403052
2018-05-31,2.790000,2.820000,2.780000,2.800000,2.553954,35850089
2018-06-01,2.780000,2.800000,2.770000,2.780000,2.535712,30580546
2018-06-04,2.790000,2.800000,2.750000,2.770000,2.526591,22354002
2018-06-05,2.750000,2.795000,2.730000,2.770000,2.526591,37583664
2018-06-06,2.770000,2.790000,2.750000,2.770000,2.526591,35685697
2018-06-07,2.770000,2.830000,2.770000,2.780000,2.535712,28447054
2018-06-08,2.780000,2.805000,2.765000,2.770000,2.526591,19261045
2018-06-12,2.780000,2.795000,2.750000,2.760000,2.517469,32084694
2018-06-13,2.750000,2.770000,2.740000,2.760000,2.517469,29850727
2018-06-14,2.780000,2.905000,2.780000,2.900000,2.645167,57412997
2018-06-15,2.930000,2.980000,2.930000,2.940000,2.681652,78493414
2018-06-18,2.970000,2.970000,2.860000,2.870000,2.617804,42435080
2018-06-19,2.880000,2.910000,2.860000,2.910000,2.654288,38750210
2018-06-20,2.760000,2.780000,2.695000,2.770000,2.526591,124013149
2018-06-21,2.780000,2.790000,2.710000,2.720000,2.480984,74378750
2018-06-22,2.700000,2.710000,2.640000,2.680000,2.444499,65739258
2018-06-25,2.680000,2.730000,2.650000,2.660000,2.426257,51586140
2018-06-26,2.650000,2.670000,2.630000,2.660000,2.426257,37451142
2018-06-27,2.650000,2.655000,2.610000,2.620000,2.389771,39590188
2018-06-28,2.620000,2.640000,2.600000,2.620000,2.389771,44275748
2018-06-29,2.630000,2.640000,2.600000,2.620000,2.389771,59819454
2018-07-02,2.640000,2.650000,2.620000,2.630000,2.398893,17854497
2018-07-03,2.640000,2.690000,2.630000,2.690000,2.453621,23327054
2018-07-04,2.690000,2.740000,2.680000,2.710000,2.471863,24082381
2018-07-05,2.740000,2.770000,2.730000,2.760000,2.517469,38392772
2018-07-06,2.790000,2.800000,2.770000,2.800000,2.553954,24994004
2018-07-09,2.810000,2.810000,2.770000,2.800000,2.553954,18429511
2018-07-10,2.810000,2.810000,2.770000,2.770000,2.526591,20279264
2018-07-11,2.770000,2.775000,2.720000,2.750000,2.508348,28315787
2018-07-12,2.750000,2.760000,2.725000,2.750000,2.508348,34608880
2018-07-13,2.760000,2.760000,2.740000,2.750000,2.508348,15159362
2018-07-16,2.760000,2.800000,2.740000,2.790000,2.544833,19566444
2018-07-17,2.800000,2.800000,2.750000,2.760000,2.517469,24932012
2018-07-18,2.760000,2.770000,2.740000,2.770000,2.526591,19586510
2018-07-19,2.760000,2.780000,2.750000,2.760000,2.517469,26193689
2018-07-20,2.770000,2.800000,2.760000,2.790000,2.544833,22178764
2018-07-23,2.780000,2.790000,2.750000,2.760000,2.517469,14923076
2018-07-24,2.750000,2.770000,2.730000,2.760000,2.517469,20777971
2018-07-25,2.760000,2.760000,2.730000,2.730000,2.490105,23159155
2018-07-26,2.730000,2.740000,2.720000,2.720000,2.480984,27375651
2018-07-27,2.740000,2.770000,2.720000,2.760000,2.517469,26355402
2018-07-30,2.750000,2.820000,2.750000,2.810000,2.563076,25968026
2018-07-31,2.810000,2.850000,2.805000,2.840000,2.590439,19884552
2018-08-01,2.840000,2.850000,2.805000,2.840000,2.590439,13296078
2018-08-02,2.850000,2.870000,2.810000,2.830000,2.581318,28579838
2018-08-03,2.850000,2.850000,2.810000,2.820000,2.572196,13932911
2018-08-06,2.820000,2.860000,2.810000,2.860000,2.608682,16472642
2018-08-07,2.850000,2.850000,2.800000,2.810000,2.563076,32282592
2018-08-08,2.800000,2.830000,2.800000,2.810000,2.563076,15071695
2018-08-09,2.820000,2.830000,2.800000,2.820000,2.572196,14207679
2018-08-10,2.830000,2.850000,2.810000,2.840000,2.590439,12346774
2018-08-13,2.840000,2.850000,2.810000,2.840000,2.590439,18335862
2018-08-14,2.850000,2.890000,2.840000,2.890000,2.636046,23448927
2018-08-15,2.890000,2.915000,2.870000,2.890000,2.636046,28332061
2018-08-16,2.920000,3.080000,2.890000,3.060000,2.791107,78744408
2018-08-17,3.080000,3.130000,3.020000,3.080000,2.809350,55160908
2018-08-20,3.080000,3.110000,3.070000,3.080000,2.809350,34051852
2018-08-21,3.080000,3.090000,3.030000,3.050000,2.781986,19203114
2018-08-22,3.080000,3.270000,3.065000,3.270000,2.982654,88304788
2018-08-23,3.300000,3.405000,3.300000,3.340000,3.046503,89664747
2018-08-24,3.350000,3.350000,3.200000,3.210000,2.927926,63656933
2018-08-27,3.220000,3.280000,3.200000,3.230000,2.946168,25920405
2018-08-28,3.220000,3.230000,3.155000,3.180000,2.900563,46444419
2018-08-29,3.050000,3.150000,3.040000,3.140000,2.895951,70154590
2018-08-30,3.220000,3.280000,3.190000,3.230000,2.978956,64143015
2018-08-31,3.210000,3.215000,3.020000,3.100000,2.859060,72997600
2018-09-03,3.120000,3.120000,3.010000,3.020000,2.785278,36995182
2018-09-04,3.000000,3.080000,2.990000,3.040000,2.803723,28105553
2018-09-05,3.010000,3.030000,2.980000,3.020000,2.785278,31419436
2018-09-06,3.070000,3.160000,3.055000,3.120000,2.877506,62789174
2018-09-07,3.100000,3.130000,3.080000,3.130000,2.886728,26532672
2018-09-10,3.110000,3.130000,3.090000,3.110000,2.868283,20507778
2018-09-11,3.130000,3.215000,3.120000,3.200000,2.951288,37068913
2018-09-12,3.190000,3.200000,3.140000,3.180000,2.932842,26920417
2018-09-13,3.160000,3.195000,3.150000,3.170000,2.923620,27872127
2018-09-14,3.190000,3.200000,3.165000,3.190000,2.942065,22365020
2018-09-17,3.180000,3.250000,3.170000,3.240000,2.988179,40599419
2018-09-18,3.240000,3.280000,3.200000,3.210000,2.960510,31623025
2018-09-19,3.200000,3.230000,3.150000,3.160000,2.914397,37781826
2018-09-20,3.140000,3.170000,3.130000,3.140000,2.895951,35371464
2018-09-21,3.130000,3.190000,3.130000,3.150000,2.905174,39201705
2018-09-24,3.150000,3.180000,3.130000,3.160000,2.914397,22901857
2018-09-25,3.170000,3.210000,3.150000,3.170000,2.923620,22075488
2018-09-26,3.190000,3.220000,3.180000,3.190000,2.942065,18645817
2018-09-27,3.200000,3.210000,3.160000,3.190000,2.942065,21779114
2018-09-28,3.200000,3.220000,3.170000,3.190000,2.942065,36448478
2018-10-01,3.170000,3.190000,3.160000,3.180000,2.932842,10287387
2018-10-02,3.190000,3.220000,3.170000,3.190000,2.942065,28474981
2018-10-03,3.190000,3.210000,3.180000,3.210000,2.960510,16748881
2018-10-04,3.210000,3.260000,3.190000,3.250000,2.997401,31617323
2018-10-05,3.240000,3.270000,3.220000,3.250000,2.997401,25240414
2018-10-08,3.230000,3.255000,3.190000,3.190000,2.942065,23045317
2018-10-09,3.180000,3.190000,3.140000,3.180000,2.932842,27597942
2018-10-10,3.190000,3.235000,3.185000,3.210000,2.960510,27719109
2018-10-11,3.150000,3.190000,3.110000,3.110000,2.868283,50997670
2018-10-12,3.100000,3.110000,3.040000,3.080000,2.840615,36591215
2018-10-15,3.070000,3.130000,3.065000,3.100000,2.859060,25557130
2018-10-16,3.110000,3.145000,3.020000,3.070000,2.831392,31316545
2018-10-17,3.060000,3.090000,3.045000,3.060000,2.822169,21637353
2018-10-18,3.060000,3.160000,3.050000,3.160000,2.914397,35381827
2018-10-19,3.130000,3.175000,3.120000,3.170000,2.923620,18203261
2018-10-22,3.160000,3.185000,3.135000,3.160000,2.914397,22288358
2018-10-23,3.160000,3.160000,3.120000,3.120000,2.877506,19113462
2018-10-24,3.120000,3.150000,3.110000,3.140000,2.895951,15123590
2018-10-25,3.110000,3.120000,3.050000,3.050000,2.812946,28608374
2018-10-26,3.060000,3.075000,3.010000,3.050000,2.812946,36595748
2018-10-29,3.070000,3.125000,3.045000,3.110000,2.868283,17528342
2018-10-30,3.090000,3.125000,3.085000,3.120000,2.877506,15056604
2018-10-31,3.100000,3.110000,3.050000,3.080000,2.840615,33522861
2018-11-01,3.040000,3.050000,3.010000,3.020000,2.785278,32586529
2018-11-02,3.010000,3.060000,3.000000,3.060000,2.822169,19112230
2018-11-05,3.030000,3.050000,3.010000,3.030000,2.794500,20704314
2018-11-06,3.020000,3.070000,3.010000,3.060000,2.822169,12410713
2018-11-07,3.040000,3.090000,3.020000,3.090000,2.849837,16567150
2018-11-08,3.090000,3.095000,3.030000,3.040000,2.803723,17081417
2018-11-09,3.030000,3.060000,3.025000,3.040000,2.803723,13471650
2018-11-12,3.030000,3.070000,3.030000,3.070000,2.831392,14121665
2018-11-13,3.040000,3.060000,3.030000,3.030000,2.794500,13391425
